thickness_mm,length_m,width_m,number_of_sheets,total_weight_kg,casting_electricity_kwh,casting_carbon_kgco2e,casting_naturalgas_nm3,casting_wastewater_l,hotrolling_electricity_kwh,hotrolling_carbon_kgco2e,hotrolling_naturalgas_nm3,hotrolling_wastewater_l,coldrolling_electricity_kwh,coldrolling_carbon_kgco2e,coldrolling_naturalgas_nm3,coldrolling_wastewater_l,heattreatment_electricity_kwh,heattreatment_carbon_kgco2e,heattreatment_naturalgas_nm3,heattreatment_wastewater_l,finishing_electricity_kwh,finishing_carbon_kgco2e,finishing_naturalgas_nm3,finishing_wastewater_l,total_electricity_kwh,total_carbon_kgco2e,total_naturalgas_nm3,total_wastewater_l,manufacturing_cost_per_unit,quality_score,transport_cost,product_type,route_type,energy_source,grade,source_name,outer_radius_m,inner_radius_m,volume_m3,weight_kg,electricity_kwh,carbon_kgco2e,natural_gas_nm3,wastewater_l,transport_cost_usd,manufacturing_cost_usd,distance_km,price_per_kg_usd,electricity_price_usd_per_kwh,scrap_input_kg,scrap_quality_pct,crushing__electricity_kwh,crushing__carbon_kgco2e,crushing__naturalgas_nm3,crushing__wastewater_l,crushing__liquidfuel_l,crushing__fluorine_g,crushing__so2_g,furnace_melting__electricity_kwh,furnace_melting__carbon_kgco2e,furnace_melting__naturalgas_nm3,furnace_melting__wastewater_l,furnace_melting__liquidfuel_l,furnace_melting__fluorine_g,furnace_melting__so2_g,separation__electricity_kwh,separation__carbon_kgco2e,separation__naturalgas_nm3,separation__wastewater_l,separation__liquidfuel_l,separation__fluorine_g,separation__so2_g,final_casting__electricity_kwh,final_casting__carbon_kgco2e,final_casting__naturalgas_nm3,final_casting__wastewater_l,final_casting__liquidfuel_l,final_casting__fluorine_g,final_casting__so2_g,total__electricity_kwh,total__carbon_kgco2e,total__naturalgas_nm3,total__wastewater_l,total__liquidfuel_l,total__fluorine_g,total__so2_g,prep_of_mining__electricity_kwh,prep_of_mining__carbon_kgco2e,prep_of_mining__naturalgas_nm3,prep_of_mining__wastewater_l,prep_of_mining__liquidfuel_l,prep_of_mining__fluorine_g,prep_of_mining__so2_g,actual_mining__electricity_kwh,actual_mining__carbon_kgco2e,actual_mining__naturalgas_nm3,actual_mining__wastewater_l,actual_mining__liquidfuel_l,actual_mining__fluorine_g,actual_mining__so2_g,grinding__electricity_kwh,grinding__carbon_kgco2e,grinding__naturalgas_nm3,grinding__wastewater_l,grinding__liquidfuel_l,grinding__fluorine_g,grinding__so2_g,pressure_digestion__electricity_kwh,pressure_digestion__carbon_kgco2e,pressure_digestion__naturalgas_nm3,pressure_digestion__wastewater_l,pressure_digestion__liquidfuel_l,pressure_digestion__fluorine_g,pressure_digestion__so2_g,clarification__electricity_kwh,clarification__carbon_kgco2e,clarification__naturalgas_nm3,clarification__wastewater_l,clarification__liquidfuel_l,clarification__fluorine_g,clarification__so2_g,precipitation__electricity_kwh,precipitation__carbon_kgco2e,precipitation__naturalgas_nm3,precipitation__wastewater_l,precipitation__liquidfuel_l,precipitation__fluorine_g,precipitation__so2_g,seed_separation__electricity_kwh,seed_separation__carbon_kgco2e,seed_separation__naturalgas_nm3,seed_separation__wastewater_l,seed_separation__liquidfuel_l,seed_separation__fluorine_g,seed_separation__so2_g,washing_filtering_1__electricity_kwh,washing_filtering_1__carbon_kgco2e,washing_filtering_1__naturalgas_nm3,washing_filtering_1__wastewater_l,washing_filtering_1__liquidfuel_l,washing_filtering_1__fluorine_g,washing_filtering_1__so2_g,washing_filtering_2__electricity_kwh,washing_filtering_2__carbon_kgco2e,washing_filtering_2__naturalgas_nm3,washing_filtering_2__wastewater_l,washing_filtering_2__liquidfuel_l,washing_filtering_2__fluorine_g,washing_filtering_2__so2_g,calcination__electricity_kwh,calcination__carbon_kgco2e,calcination__naturalgas_nm3,calcination__wastewater_l,calcination__liquidfuel_l,calcination__fluorine_g,calcination__so2_g
,1.6968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.606,,pipe,na,renewable,na,pipe_ren,0.1528,0.0993,0.07193365,194.2209,4107.16,1523.09,52.686,2313.518,6.082,1082.595,409.7,3.06,0.1118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4.6991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.45,,pipe,na,renewable,na,pipe_ren,0.144,0.0753,0.22248769,600.7168,11461.209,3699.424,129.628,11718.853,38.792,4331.401,731.7,4.866,0.1121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4.5078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.852,,pipe,na,renewable,na,pipe_ren,0.1446,0.088,0.18648744,503.5161,11478.255,2977.949,106.329,7454.506,0.513,2557.573,36.1,2.633,0.1031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1.846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.779,,pipe,na,renewable,na,pipe_ren,0.0968,0.0158,0.05284283,142.6757,1110.645,72.767,11.582,533.721,2.468,528.26,189.1,1.87,0.1774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4.1098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.637,,pipe,na,renewable,na,pipe_ren,0.182,0.1175,0.24967148,674.113,2859.505,391.762,37.237,2742.969,41.045,1705.432,804.8,1.283,0.1437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5.5185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.817,,pipe,na,renewable,na,pipe_ren,0.0442,0.0345,0.01329315,35.8915,764.931,141.669,5.372,542.833,4.256,214.096,1024.4,2.68,0.1255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.6603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.827,,pipe,na,renewable,na,pipe_ren,0.1293,0.0298,0.03282512,88.6278,2308.735,436.478,11.674,852.904,3.767,670.248,825.0,3.471,0.1455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4.5455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.734,,pipe,na,renewable,na,pipe_ren,0.1241,0.0817,0.12475916,336.8497,3069.792,271.4,13.375,1164.761,6.59,1122.635,168.1,1.746,0.129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.7224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.673,,pipe,na,renewable,na,pipe_ren,0.1174,0.0065,0.03120579,84.2556,1353.999,453.351,12.343,809.11,6.438,575.932,975.7,3.761,0.1594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3.3831,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.475,,pipe,na,renewable,na,pipe_ren,0.1039,0.0704,0.06201361,167.4367,2748.989,995.245,40.791,3079.941,1.696,1142.346,316.0,3.843,0.1526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5.9867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.988,,pipe,na,renewable,na,pipe_ren,0.1111,0.0709,0.13740349,370.9894,6474.012,2077.068,90.276,3491.421,3.479,2192.266,92.5,3.597,0.1157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3.5322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.913,,pipe,na,renewable,na,pipe_ren,0.0473,0.0249,0.0178815,48.2801,798.014,320.682,10.99,775.516,2.071,254.628,427.7,3.211,0.1054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2.6534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.975,,pipe,na,renewable,na,pipe_ren,0.0733,0.0106,0.04389238,118.5094,2270.325,515.943,26.523,2034.514,4.344,636.404,1130.2,2.517,0.1191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3.1461,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.581,,pipe,na,non_renewable,na,pipe_non,0.15,0.0599,0.18688336,504.5851,9628.14,9208.189,74.031,6180.876,40.46,2889.207,727.4,3.838,0.084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4.8187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.533,,pipe,na,non_renewable,na,pipe_non,0.1687,0.0572,0.38148904,1030.0204,18192.732,19533.786,187.537,18420.853,60.265,5034.883,758.3,3.167,0.0672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4.0325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.614,,pipe,na,non_renewable,na,pipe_non,0.1575,0.0343,0.29920539,807.8546,13491.056,11357.819,127.298,284.976,39.597,4835.69,471.7,4.345,0.0712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5.7628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.911,,pipe,na,non_renewable,na,pipe_non,0.1219,0.063,0.1971816,532.3903,8919.562,8256.527,60.956,8304.225,5.833,2525.383,188.2,2.928,0.0827,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2.9889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.895,,pipe,na,non_renewable,na,pipe_non,0.1407,0.0549,0.15757132,425.4426,6407.731,6016.136,49.392,5686.003,9.814,2008.153,231.3,2.715,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5.9558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.413,,pipe,na,non_renewable,na,pipe_non,0.0705,0.0514,0.04356234,117.6183,2639.478,2143.898,18.361,2398.18,8.532,685.447,702.5,3.61,0.0671,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3.3367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.714,,pipe,na,non_renewable,na,pipe_non,0.1446,0.0588,0.18282213,493.6198,8336.829,6889.657,129.682,2883.524,27.59,2230.366,720.7,2.855,0.0724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4.7033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.903,,pipe,na,non_renewable,na,pipe_non,0.1536,0.0537,0.30599606,826.1894,12718.559,13292.959,140.051,22478.565,33.979,3740.375,514.5,2.641,0.0999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.2413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.578,,pipe,na,non_renewable,na,pipe_non,0.1093,0.0772,0.00454625,12.2749,204.718,165.276,2.796,242.943,0.069,69.974,251.6,3.949,0.0786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3.4755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.904,,pipe,na,non_renewable,na,pipe_non,0.0973,0.0816,0.03080287,83.1678,1678.518,1117.098,9.794,2022.119,0.382,409.116,123.6,2.51,0.0978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3.9313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.588,,pipe,na,non_renewable,na,pipe_non,0.0921,0.0012,0.10464736,282.5479,2110.866,1676.413,18.077,1405.463,0.951,732.188,78.1,1.473,0.1013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4.0819,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.793,,pipe,na,non_renewable,na,pipe_non,0.0449,0.018,0.02165593,58.471,1081.909,1000.148,10.604,909.625,5.323,299.09,942.6,3.274,0.0698,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3.4929,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.769,,pipe,na,non_renewable,na,pipe_non,0.0435,0.0264,0.01316211,35.5377,528.033,524.8,4.381,384.999,3.723,187.183,944.4,3.054,0.1015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.4683,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.989,,pipe,na,non_renewable,na,pipe_non,0.1921,0.0635,0.04838589,130.6419,2040.537,1587.264,27.607,1678.013,2.246,643.983,193.1,2.963,0.0939,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.8077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.558,,pipe,na,non_renewable,na,pipe_non,0.1101,0.0526,0.02375304,64.1332,1151.209,1219.343,10.45,1090.88,5.041,378.49,895.5,3.516,0.1016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1.0928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.836,,pipe,na,non_renewable,na,pipe_non,0.1056,0.0371,0.03354705,90.577,521.028,360.619,3.876,674.088,2.371,248.272,857.1,1.733,0.0914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5.2877,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.89,,pipe,na,non_renewable,na,pipe_non,0.1408,0.0484,0.29040678,784.0983,4844.146,3048.609,59.486,4308.453,12.872,1833.216,483.9,1.345,0.0928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3.1712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.492,,pipe,na,non_renewable,na,pipe_non,0.0864,0.0281,0.06659569,179.8084,3584.308,3797.88,39.526,4228.349,6.734,883.22,946.4,3.003,0.0873,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3.126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.686,,pipe,na,non_renewable,na,pipe_non,0.1024,0.074,0.04928623,133.0728,2396.638,1852.939,21.778,2314.681,0.929,785.653,218.0,3.686,0.0993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3.7659,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.811,,pipe,na,non_renewable,na,pipe_non,0.1122,0.0403,0.1298304,350.5421,2310.085,1431.324,34.384,1083.845,7.667,1037.916,1041.9,1.998,0.0814,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5.9227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.593,,pipe,na,non_renewable,na,pipe_non,0.1029,0.045,0.15954146,430.7619,2723.522,1758.162,21.39,1383.571,8.611,1178.8,996.5,1.96,0.0816,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1.819,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.825,,pipe,na,non_renewable,na,pipe_non,0.0323,0.016,0.00449175,12.1277,174.214,148.67,1.677,110.833,0.167,55.513,164.5,2.986,0.0877,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.5594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.718,,pipe,na,non_renewable,na,pipe_non,0.0542,0.0249,0.00408023,11.0166,82.139,53.956,0.589,41.351,0.191,27.844,355.3,1.674,0.0864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1.9308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.67,,pipe,na,non_renewable,na,pipe_non,0.0488,0.0069,0.01414286,38.1857,558.719,532.824,6.536,431.069,1.515,186.977,343.3,3.118,0.0925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.9331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.754,,pipe,na,non_renewable,na,pipe_non,0.0522,0.0446,0.00215747,5.8252,47.99,34.764,0.311,25.738,0.153,15.725,973.8,1.902,0.0679,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4.9049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.96,,pipe,na,non_renewable,na,pipe_non,0.0841,0.0482,0.07304837,197.2306,2906.9,2151.56,48.194,3775.22,3.442,1011.248,260.8,3.236,0.1047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.2496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.549,,pipe,na,non_renewable,na,pipe_non,0.1791,0.1192,0.01399614,37.7896,244.522,127.15,2.12,125.54,0.529,89.804,125.9,1.324,0.0989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5.7984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.79,,pipe,na,non_renewable,na,pipe_non,0.0754,0.0107,0.10144051,273.8894,5002.228,4999.533,44.148,3520.76,12.068,1600.139,459.1,3.242,0.1132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1.6167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.868,,pipe,na,non_renewable,na,pipe_non,0.1275,0.0059,0.08243696,222.5798,4205.574,2781.917,44.839,894.629,18.712,1062.002,1093.3,2.735,0.0766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3.7769,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.575,,pipe,na,non_renewable,na,pipe_non,0.0854,0.0725,0.02415991,65.2317,519.029,344.03,6.091,168.7,2.403,208.965,441.2,2.165,0.0817,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1.8223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,pipe,na,non_renewable,na,pipe_non,0.1549,0.0303,0.13207949,356.6146,1835.165,1215.026,20.973,2419.008,7.324,914.75,317.6,1.678,0.0982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4.0135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.527,,pipe,na,non_renewable,na,pipe_non,0.0271,0.0042,0.00901768,24.3477,143.377,97.924,1.893,125.178,0.874,65.848,423.1,1.621,0.1001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4.9129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.927,,pipe,na,non_renewable,na,pipe_non,0.1815,0.0585,0.4557165,1230.4346,25644.291,22154.596,214.377,16432.797,23.737,6361.905,527.8,2.944,0.0845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5.1618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.74,,pipe,na,non_renewable,na,pipe_non,0.0275,0.0128,0.00957363,25.8488,247.087,153.967,0.678,110.891,1.281,70.398,648.3,1.472,0.095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5.8219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.822,,pipe,na,non_renewable,na,pipe_non,0.0499,0.0277,0.03155147,85.189,610.534,335.63,7.681,308.891,2.931,288.276,643.8,2.476,0.0957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3.984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.994,,pipe,na,non_renewable,na,pipe_non,0.0534,0.0221,0.02960652,79.9376,1330.567,1199.861,7.745,1071.045,1.351,392.558,592.3,3.457,0.059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.5419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.473,,pipe,na,non_renewable,na,pipe_non,0.0626,0.0243,0.00566032,15.2829,240.314,262.083,2.339,319.224,0.313,86.108,329.6,3.801,0.0904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.687,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.87,,pipe,na,non_renewable,na,pipe_non,0.0768,0.0271,0.01114133,30.0816,195.706,144.149,1.367,217.271,0.55,91.759,352.7,2.167,0.074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3.7011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.916,,pipe,na,non_renewable,na,pipe_non,0.0301,0.0221,0.00485859,13.1182,262.351,223.495,2.568,148.363,1.227,76.838,826.1,2.873,0.1322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3.7787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.894,,pipe,na,non_renewable,na,pipe_non,0.1784,0.1539,0.09639637,260.2702,4978.152,4357.03,45.149,6012.013,0.926,1220.486,67.6,3.025,0.0763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
