Sample_ID,Scrap_Input_kg,Scrap_Quality_pct,Crushing__Electricity_kWh,Crushing__Carbon_kgCO2e,Crushing__NaturalGas_Nm3,Crushing__WasteWater_L,Crushing__LiquidFuel_L,Crushing__Fluorine_g,Crushing__SO2_g,Furnace_Melting__Electricity_kWh,Furnace_Melting__Carbon_kgCO2e,Furnace_Melting__NaturalGas_Nm3,Furnace_Melting__WasteWater_L,Furnace_Melting__LiquidFuel_L,Furnace_Melting__Fluorine_g,Furnace_Melting__SO2_g,Separation__Electricity_kWh,Separation__Carbon_kgCO2e,Separation__NaturalGas_Nm3,Separation__WasteWater_L,Separation__LiquidFuel_L,Separation__Fluorine_g,Separation__SO2_g,Final_Casting__Electricity_kWh,Final_Casting__Carbon_kgCO2e,Final_Casting__NaturalGas_Nm3,Final_Casting__WasteWater_L,Final_Casting__LiquidFuel_L,Final_Casting__Fluorine_g,Final_Casting__SO2_g,electricity_kwh,carbon_kgco2e,naturalGas_nm3,wastewater_l,Total__LiquidFuel_L,flourine_g,so2_g
R-229,1.2263413094035591,0.9123178450727066,0.028361517804787604,0.0008167505790051209,0.0,0.6623872340655608,0.01376491847180514,0.0,0.025850511128753726,3.3591699094053293,0.09671968648543254,0.6783548736147488,0.27487483953850594,0.13497641247544584,0.0,0.6477305348712618,0.14226871785072243,0.004900075456027008,0.06603460265149809,1.4015197427326465,0.028625931858964806,0.0,0.06305875321214048,0.25294018778343913,0.007663404705159704,0.027288827072549853,0.13036669981775117,0.06812199258694414,0.0,0.11982976147707702,3.889122338806141,0.10799800629661731,0.7381451334511421,2.4444932933429824,0.2427055077104529,0.0,0.949956577294725
R-230,1.2355857372800882,0.9513745495567749,0.02672154950612646,0.0007944633119524161,0.0,0.6675372520817057,0.012800521900483622,0.0,0.027605436779559903,2.924651737870545,0.09395319988125525,0.6605925085039436,0.26359104161019864,0.13740841755748087,0.0,0.6879664817862455,0.1635082682752897,0.005024918527330667,0.06780018592306118,1.3740942738774349,0.02727719110588952,0.0,0.06634856445356384,0.26542176906962006,0.008118548875849896,0.0264882366703196,0.12498876732012727,0.06494160569486744,0.0,0.13391454403955094,3.4168912473017765,0.11606948924677549,0.7981461045670041,2.48802175638063,0.22757597672728133,0.0,0.898089223542062
R-231,1.281076467941366,0.9515180676209404,0.02806129041763279,0.0008269582892000186,0.0,0.6481602928897577,0.013347439345147254,0.0,0.027206809478465623,3.2546560464321543,0.09699302742595405,0.6971488674413215,0.25128075894894225,0.13984477823197047,0.0,0.6804593921937684,0.16219878525681153,0.004682594275651243,0.06617409533173374,1.3612429762824412,0.025657691883166224,0.0,0.06782806066161962,0.268821610329475,0.008543851545756494,0.027347937445903,0.13771273163650627,0.06791127509496377,0.0,0.1394883080148081,3.638114169155504,0.1077384206414381,0.7942459456861426,2.5284808033784025,0.2504803708695656,0.0,0.9037264385934721
R-232,1.222675917942223,0.9317980745774715,0.027326782865340675,0.0008248759239774182,0.0,0.664503844436903,0.013512692902281043,0.0,0.027497481356017435,3.051461778926201,0.09534463298765128,0.7127994215727832,0.2486743605325422,0.14308917718412933,0.0,0.6576203405765821,0.16538412111824052,0.004657157462178784,0.06845281141689613,1.2932347575513203,0.026044938693163083,0.0,0.06402864873916861,0.2697145562025432,0.007843665066221379,0.028249951606323622,0.1290155328313506,0.06768534376715449,0.0,0.12856735271410977,3.6798045275165467,0.11603046049933871,0.7654160994373653,2.449924842007435,0.23788075360697994,0.0,0.8254621094526671
R-233,1.2879318914544362,0.9624950960109895,0.026228739998000093,0.000796729289087875,0.0,0.6691458629554077,0.012531183023147577,0.0,0.02566451518825717,3.489265709692623,0.09210568871761125,0.6847798132827664,0.25360601601170873,0.13404522620806536,0.0,0.6675075917596102,0.1545402102718756,0.004949657648304847,0.0664561739410023,1.4297957027397192,0.02730303362335274,0.0,0.06678807755532282,0.25852941968090537,0.00812507455266493,0.026240918897627908,0.12605050691970876,0.07425756707627533,0.0,0.1366528758460096,3.8338789675761564,0.10673659656354825,0.7151839287608139,2.46212468323148,0.22560810501857054,0.0,0.9164471128943128
R-234,1.1983358716186623,0.9343361451367442,0.026658189559332267,0.0007943752402904424,0.0,0.6723080172108307,0.01332876815464976,0.0,0.029270761708006684,3.024060224242149,0.10144534063997171,0.7003098108238215,0.27162774070135365,0.13158163283521093,0.0,0.6234656714954887,0.1694057400370158,0.004973519410023125,0.06717515780800581,1.3613579945160845,0.02696529294592432,0.0,0.066820001373309,0.2694941857459198,0.008008148053531753,0.026804605864784396,0.13798217212271396,0.0672311540164219,0.0,0.12982414408967008,3.629594978022985,0.10596276932969073,0.7949140546718068,2.382133258801064,0.24394968732284947,0.0,0.9190881444260391
R-235,1.2587468571797633,0.9143561953289869,0.025740693684691805,0.0007608168813656195,0.0,0.6758914741827047,0.012993589431261401,0.0,0.02626784820849394,3.270085186643837,0.09287241943886053,0.677042377544469,0.2744972926433887,0.13528175866543746,0.0,0.6707304302333428,0.1539280130445134,0.004980024695058478,0.06652818745625733,1.229667560374103,0.025921961758788557,0.0,0.06836823933539801,0.26577509710699676,0.008381356260060152,0.02842427931559815,0.13618534039938077,0.06713043292000072,0.0,0.13918223026555454,3.5557338825529237,0.11822041585427695,0.7415807028422877,2.548280635486187,0.24343938085824968,0.0,0.8817062746219618
R-236,1.2531615059228018,0.9380224563212303,0.025194997836128056,0.0008068321073423217,0.0,0.7111453340704241,0.012729577295581915,0.0,0.025862541161042373,3.3457032901657846,0.09460638297864381,0.6602453458995219,0.2912982121947989,0.1387709540890582,0.0,0.653988273408907,0.1650777531468879,0.004851544010417437,0.06723812060008849,1.3836941073387103,0.02578577569434268,0.0,0.06441627506447638,0.2596506897312933,0.007622033655995929,0.02689063223742152,0.1349483437249465,0.06798946456824059,0.0,0.13608094282587083,3.398245600332565,0.10925464423280193,0.7334898446086925,2.287918252232214,0.23483497408579374,0.0,0.9404915380594101
R-237,1.2164465554504351,0.9099187348579256,0.02800065445313676,0.0008511983200244666,0.0,0.6572772817326861,0.013892822363427256,0.0,0.027974699397086487,3.1210557233680856,0.10268095223656967,0.646428674881656,0.27215421473461343,0.12837474723232498,0.0,0.6512398809052462,0.15154178790914818,0.0050677927646801315,0.0678386763305951,1.375459861371259,0.02620744031663649,0.0,0.06522479497217055,0.26612884497990025,0.008722961306830201,0.025871808228116955,0.12933571444755182,0.07094892608763288,0.0,0.1284368464939823,3.666590712202235,0.1064195921859027,0.7732030147615208,2.554885322448645,0.23967053590782447,0.0,0.9050493931867738
R-238,1.1985815031839597,0.9427639576694411,0.028768155069194917,0.0008011489160293011,0.0,0.6669035662695587,0.01308743718427994,0.0,0.026976774591605107,3.277409254776954,0.09234076638907263,0.6326454596134661,0.28561571889441123,0.13115767044700086,0.0,0.6529946115207487,0.1655174709992629,0.0053147580951307186,0.05931060348545387,1.3926469386289952,0.02434214392034907,0.0,0.06894388415038467,0.25772680284408006,0.008341968697884417,0.02536341058973223,0.13242560058857017,0.06766383874754651,0.0,0.13621762944375257,3.755324437194862,0.11596758793330202,0.7755301869750616,2.5123242042993565,0.23905036628715198,0.0,0.9594973761117424
R-239,1.222388154285166,0.9428119992291243,0.027654922348940406,0.0008009065566084622,0.0,0.661637227037117,0.013464277610769569,0.0,0.027469789754374457,3.2700595590671,0.09101248103866202,0.6866119453442147,0.26900073881466124,0.1319451681952339,0.0,0.6939818446573989,0.16737100411294442,0.005002252808048897,0.0634462480804715,1.356827687531543,0.026444015234509687,0.0,0.06598566167158051,0.2502189817345992,0.007728359774915071,0.025174287370673506,0.1320988682769903,0.0684422088669964,0.0,0.13523968085616217,3.644283646979867,0.10216299249546429,0.8114649634857424,2.301635617607293,0.24567663505688359,0.0,0.8238994854199797
R-240,1.2000904949403326,0.9537428145966715,0.0248096453734009,0.0008228664513404563,0.0,0.6708882697943005,0.01380467266015876,0.0,0.027949337640032126,3.0333218290816077,0.09324608757305843,0.6621709616866245,0.27738331909606173,0.1387493169985585,0.0,0.6488649419330791,0.173600244026304,0.004727233651118762,0.06945516974312446,1.3991989872194504,0.0265021411337312,0.0,0.06640111462868514,0.2611516215392003,0.007859090683110278,0.027853390574207867,0.13107740150227065,0.06280986560697265,0.0,0.13259533802413806,3.6635113395630197,0.10519517162828271,0.7581635577699872,2.448659945404815,0.22808052338240656,0.0,0.9322407940236246
R-241,1.196528255578594,0.9311397881664724,0.027014169301119877,0.0007982742455586924,0.0,0.6716912581542509,0.013541077562319053,0.0,0.026886413369076524,3.2898412576860716,0.0952741754102153,0.7017127912172476,0.2850654113559251,0.15092523327410082,0.0,0.6474667816872431,0.16827680267495412,0.004646683197418606,0.06709468334996212,1.3941673488889288,0.026530057189542596,0.0,0.06767434730390369,0.2729276825633287,0.007740513461743404,0.027459236961443312,0.12609409574670738,0.0703475571876128,0.0,0.13182955759686793,3.4722651809148464,0.10798885766651348,0.7985971378949478,2.5012632359386324,0.24174644476274493,0.0,0.9127994971900619
R-242,1.2241464126850645,0.9206970032450865,0.02767303397042422,0.0007931242399432972,0.0,0.6585226517827656,0.013436192848914572,0.0,0.025305636007119752,3.0731793141185797,0.09152695842411175,0.6509742823595978,0.2702470609658607,0.1407650038046006,0.0,0.6532096761211572,0.15873262076089495,0.004748853629665764,0.06835878307926078,1.3964294180524766,0.02581311777253212,0.0,0.07311581550404683,0.23567047906602231,0.008430798708915844,0.02646980517016489,0.14394802618954178,0.0641640382383141,0.0,0.1252042284772004,3.6475088514476903,0.10904992341101165,0.7545030057776084,2.287975637547946,0.25632277452098634,0.0,0.8425883339694298
R-243,1.230355017839328,0.9142914464195958,0.02662443841420604,0.0008267203723731202,0.0,0.6965825965809486,0.013344257734226058,0.0,0.026445625446622562,3.1429351508338934,0.08937499146098461,0.665440641369096,0.2652744539438923,0.13005537124173958,0.0,0.6565997339223182,0.1523537028327274,0.004890205321682837,0.0619567098913772,1.3634740251045818,0.02621547390790825,0.0,0.06705439638084175,0.26001149948985863,0.008668617277144927,0.028061141675998262,0.13328545277517231,0.06653265290775827,0.0,0.13900053473304638,3.3457867354642428,0.10633606038669885,0.76579416341944,2.4303775382132797,0.26518260472262317,0.0,0.8872331713294862
R-244,1.2336723167683956,0.9381228160481184,0.024707813587552734,0.0007857457209199277,0.0,0.6996189136279319,0.013615553657221979,0.0,0.028908104905696265,3.320132023528884,0.10135476966191836,0.686683748542345,0.26446263490794375,0.13726241539657189,0.0,0.7097004385894444,0.16590192848961355,0.004820416804303912,0.06288939902374603,1.4114329855665368,0.02666835754229383,0.0,0.06433035546488243,0.2541904077251101,0.007938395260217588,0.028219974251121528,0.1300137213043415,0.06532859916254408,0.0,0.14160790708177426,3.353159257061427,0.11065746446870635,0.7179175693455622,2.458681258498731,0.24175657089770636,0.0,0.8887732492296196
R-245,1.187246177195151,0.9208302959980956,0.024924915955623184,0.0007763039322947348,0.0,0.6844366847534364,0.014165943095714494,0.0,0.027530809354576073,3.0273463071672384,0.10221082531150805,0.7148147721203388,0.25961040369844574,0.1277708795970803,0.0,0.6864083829250047,0.16085772659878578,0.0042927203517737714,0.06700358260508858,1.4355972551001666,0.027083929323091598,0.0,0.0647314142614426,0.26903623792038367,0.007485173865697345,0.027064947081462908,0.1317848111330105,0.06395830640401871,0.0,0.13415991223871115,3.773688565023246,0.1072063382455645,0.7384648515380187,2.3410026768269905,0.24484922904443743,0.0,0.9302084941093282
R-246,1.2270313208042767,0.9152152699258285,0.027386947676198672,0.0008208039731544331,0.0,0.6612749602400106,0.013834404275926616,0.0,0.028862082571737654,3.1611905642350346,0.09943808651442046,0.6364612048110803,0.2829299122257068,0.12804558170234265,0.0,0.6905148357853297,0.1579552621306719,0.004764945548352215,0.06414588821238261,1.3336971712099217,0.026730469422865503,0.0,0.06851444389459904,0.2733235102781995,0.00783888783982977,0.026146675888689398,0.12919128620721942,0.07022288690621065,0.0,0.14618321724297703,3.9823704940194466,0.11788569460308389,0.7581675917983851,2.3874783783203064,0.2359627587928438,0.0,0.8213189716479541
R-247,1.2413481503826331,0.9600058052845603,0.02947517991962379,0.0008602707252458584,0.0,0.6446212785274832,0.012897186756983635,0.0,0.02572097087020015,3.118545460795576,0.09294679971900653,0.7046841146548565,0.2558548281964774,0.14036436792779047,0.0,0.6699701908652719,0.15212066697680018,0.004724669948831039,0.06512198015222709,1.3746945897437284,0.028529820758907212,0.0,0.07062384276595188,0.2751315676353855,0.007659736012466751,0.026631233398374185,0.1370834625570209,0.0634555396450561,0.0,0.13784679160552438,3.5940504796418176,0.10421458959210676,0.7742181821404468,2.3940507005388345,0.24757105527248122,0.0,0.9145053000549448
R-248,1.2265341222484165,0.9320515509571199,0.025456012974076854,0.0007779437741060202,0.0,0.6527404592597486,0.01393950522388731,0.0,0.026263198582899216,3.481488197182449,0.09726075217008268,0.6884008510994873,0.25928447241433916,0.14808651305648007,0.0,0.6313049691487942,0.1687743317887375,0.0049841977468511505,0.06707787987492345,1.3228457928572803,0.025580761782959573,0.0,0.06409768191236598,0.28165953204536576,0.008026002872459293,0.026032367802059784,0.14234082273510917,0.07027372393086527,0.0,0.13028090885134247,3.916802112336957,0.11343824683493481,0.8052200596574379,2.4743531625417474,0.24448040649293368,0.0,0.9571248656902157
R-249,1.194768541836794,0.9238663757511312,0.027390145288148943,0.0008467672438418681,0.0,0.6970074299537105,0.01341928052097171,0.0,0.028917162482285853,3.375673174995219,0.1001835738036537,0.6570742802946349,0.25351966425822425,0.1397252948405506,0.0,0.6816979654190162,0.16004446032712,0.004848921675921811,0.06580043088259033,1.2997032135977575,0.028086826234697344,0.0,0.06851040360096622,0.2437764880228875,0.007884485338839278,0.02719597282293484,0.1316712088183404,0.06701305193771372,0.0,0.13581796441490304,3.5297704096009577,0.10995319082353416,0.7444747947448133,2.414893284540526,0.2293329511089951,0.0,0.8926547968697685
R-250,1.208944955736345,0.9501584980778685,0.02554095938448683,0.000830729692124799,0.0,0.6428368191753089,0.013642744452197767,0.0,0.025876040760559455,3.13296338721329,0.09180939447486276,0.6780473801020596,0.2631246606931585,0.1334740033844097,0.0,0.6601168535727818,0.15998144802267517,0.004516191376272625,0.0641437481900374,1.3798727567073166,0.026515094700707276,0.0,0.06300987383738473,0.27020240173812354,0.00820079289587543,0.02646558088001578,0.12396930851250065,0.06634347945545634,0.0,0.1383110661517183,3.7007671892278498,0.10890202959031314,0.7172520669676342,2.3590369597531584,0.2509286960878999,0.0,0.8837978664552755
R-251,1.2673292834625942,0.9447621821165919,0.029517747373345952,0.0007917179354450792,0.0,0.6594257049059579,0.014147157444508998,0.0,0.026264873048294286,3.4559791526355577,0.0967065250576427,0.6760399821942588,0.2876513697632857,0.131748771403378,0.0,0.7251883001288131,0.1713109911869553,0.004808447283427666,0.06441864125716303,1.3520180675631006,0.02684651425524008,0.0,0.06530972964143503,0.2570153451076824,0.007954889612742605,0.02723552578092679,0.14199530884929787,0.06478693474973846,0.0,0.130865913345261,3.3330022444900362,0.11130648862538954,0.7520476040206538,2.351782975775435,0.2522667595173226,0.0,0.9004622112111066
R-252,1.2884569851906453,0.9362737047969196,0.028556670854537048,0.0007876802073631294,0.0,0.7126324300261209,0.013049232261864037,0.0,0.02796698161518178,3.4290693887899906,0.09764081171678404,0.713170767369935,0.25689705515750955,0.1356058488565761,0.0,0.6835865026752654,0.16096738102678898,0.00461363352876341,0.06499118571595432,1.2502324891070327,0.025788508977782128,0.0,0.06878478376850405,0.26355921239975744,0.008375570004612472,0.02662317200917844,0.12488771202040648,0.06590837361898716,0.0,0.14358936810201317,3.498387971782765,0.10583888746396053,0.742434969636794,2.461162030504749,0.24086197039756516,0.0,0.8932711271527108
R-253,1.2024936427434143,0.930845841853925,0.02824377086766353,0.0007994009975394773,0.0,0.7027361080639125,0.013318935652715849,0.0,0.02656035213843503,3.305784331178547,0.10091894125307416,0.6815943606014947,0.2759950147443924,0.1259574514136491,0.0,0.7053977574983776,0.16584361676628234,0.004864023317216306,0.0723187318456658,1.2714513128953515,0.024429893558069887,0.0,0.06823334467200919,0.2559105240086601,0.007918852221733502,0.026964175429461102,0.1363171170037934,0.06440617451515299,0.0,0.1380897138985211,3.5732057808657647,0.10918171276684682,0.7700826008018192,2.277749274833875,0.24567535161772766,0.0,0.9364028084980718
R-254,1.2306261480078868,0.9355828420582462,0.02599451700570343,0.0007569347337737993,0.0,0.6352919290684965,0.013875748032598742,0.0,0.026631445773846688,3.3988440299163023,0.09714619692310783,0.6683234297942992,0.2586138691079448,0.13846623369232677,0.0,0.7367319606448086,0.1644856120315719,0.00511192430640158,0.06479109846816435,1.3665513364635617,0.026385110103632765,0.0,0.06555383562076518,0.2546561104204299,0.00803257860964389,0.02629429454170709,0.1353275257938494,0.07063622640958216,0.0,0.13705552725109169,3.72122685099742,0.11374962391448244,0.7762368932837237,2.4252393871820153,0.22923460202408827,0.0,0.8548989294433756
R-255,1.2049473876305916,0.935182593264069,0.02774559825035314,0.0008199424043156533,0.0,0.6548000435384325,0.013971181096505237,0.0,0.028672775080667696,3.1956782230725045,0.10176132056806685,0.6364507425365269,0.2745964346407226,0.13969008540871197,0.0,0.644956190414384,0.1612227207095054,0.0047969196484093715,0.06417436999741143,1.4218013931464766,0.0266598785852481,0.0,0.0690139170326661,0.26108231482246946,0.007803278820220719,0.02592437054423321,0.1273732020995393,0.0653954114654263,0.0,0.12192580733254943,3.6827750778333233,0.10922257749812947,0.7497443426185728,2.3736781625467662,0.2226111252765076,0.0,0.9547394126300672
R-256,1.1971377880043126,0.9444522467439886,0.026537996044577284,0.0008290897396045162,0.0,0.6747733604773845,0.014555241414443764,0.0,0.027686098581495466,3.0512510823657943,0.09632631707553298,0.6426042194232033,0.25779253508055666,0.1367078436339147,0.0,0.6516535090210885,0.15655633374751918,0.0047007760697428316,0.0678994592605105,1.3609310863270636,0.026403421297873077,0.0,0.06400094872586737,0.2545903464808734,0.00789093023820432,0.02717255989131875,0.13169606305234216,0.06822130082253444,0.0,0.1255593255845785,3.512719560226452,0.1144671962631001,0.7639497546864603,2.446212110840436,0.2524913466443865,0.0,0.892462932771879
R-257,1.2680956765101863,0.9446155379951832,0.025272253954522195,0.0007903820014883739,0.0,0.6494039655399215,0.013485085185900424,0.0,0.02569860074967609,2.9567521328379107,0.09496245827490214,0.6584886954378117,0.2788019314490473,0.13834854784240777,0.0,0.6224264841730387,0.1524272583569555,0.004819951998916529,0.06841361814031692,1.3444469369504688,0.024874413849590094,0.0,0.06154421203670265,0.2770265648526174,0.008165839296428794,0.02769416880302186,0.13297500558826636,0.07067812290376708,0.0,0.13144744564596136,3.952559853593008,0.09519281437341105,0.7516910543571417,2.318076595758747,0.2503685597640866,0.0,0.9075169548435731
R-258,1.2205199554607722,0.9204974102360194,0.025691874324886663,0.0007552155584174391,0.0,0.6802416734443157,0.012917237390076552,0.0,0.02581521972485024,3.173070417054681,0.09245119723514023,0.6031594021591598,0.27465805667460236,0.13315496893876116,0.0,0.6204656306745562,0.16483581931333305,0.004890421705939281,0.07028553104879744,1.2659094865556617,0.027785704496109218,0.0,0.06574131762685557,0.27828699394373774,0.008428478552026405,0.027432032773317978,0.1283249578958724,0.0681636077986695,0.0,0.13440834702160995,3.6710504755215654,0.10843407192660634,0.742028863989622,2.4199209906257964,0.22193474797910331,0.0,0.8141395021720544
R-259,1.192132621970907,0.9347098960118079,0.028820281805800884,0.0007820557450848097,0.0,0.6424497473412959,0.01367649853004711,0.0,0.026444100071021753,3.1026900600269873,0.09586636973385536,0.6653689965228877,0.25462808677652715,0.14411216099775678,0.0,0.6789404525087483,0.1595729371171893,0.004715180025002306,0.06750039782739535,1.2727012911081972,0.024718214823283905,0.0,0.06788626172093899,0.26911660663826353,0.0081762556137996,0.027484463653154437,0.1323199080558437,0.06353791067570208,0.0,0.13862480556900095,3.3593510167404177,0.11742441093347998,0.7974943806653774,2.290746059785191,0.2580604841093524,0.0,0.9538786848483791
R-260,1.2364266279595117,0.9396586022078973,0.02795963833422904,0.0008156301700432603,0.0,0.6611501428690197,0.013359615048002945,0.0,0.02522272141926096,3.28160502342357,0.09988305971974307,0.692891022279783,0.25782444262576426,0.1387600698787075,0.0,0.6960304214555968,0.1757048077793251,0.004691174200038771,0.06502100427236128,1.3513864521680259,0.025284436231288215,0.0,0.06518927751453803,0.2511391648687284,0.0082860740604686,0.02530951296958917,0.13133319527668352,0.06529252729841138,0.0,0.13976510536916276,3.5865874044754498,0.10138138275142233,0.764515456439372,2.6002790750748437,0.23645111443354108,0.0,0.9088963972132531
R-261,1.2024449006657028,0.9217955687096003,0.027273926775536344,0.0008116206973323128,0.0,0.6447124075726821,0.013478498630579431,0.0,0.026211041886166915,3.103213669658437,0.09548430730925453,0.6849126550061447,0.25695099750909384,0.1443852839927066,0.0,0.6656325007930912,0.16442943089205897,0.004934423329259148,0.0702525259918159,1.3619541107927946,0.026213740474496185,0.0,0.07552735827906262,0.2795208767094822,0.008074017308682159,0.02537527000453081,0.13076054223487105,0.07028092132391432,0.0,0.12933901056798072,3.773777809064516,0.10903150212489114,0.7504273914850831,2.309570052983092,0.2318955947476885,0.0,0.9682309853033646
R-262,1.244560367761167,0.9428257220316397,0.02635679757221264,0.0008044124419345344,0.0,0.7271358357324406,0.013700718495876337,0.0,0.02726374979138867,3.1667207142658844,0.09530183761298142,0.6551610084590741,0.2771351905839896,0.13446753661457256,0.0,0.6785878951534458,0.16977980278649912,0.004630645211116163,0.06678059614596552,1.3866822527135283,0.02581692100348832,0.0,0.06929376527769013,0.2546939424376504,0.00832188761602852,0.025569397376503697,0.13434037126841294,0.07172686109296,0.0,0.13855160358160468,3.558908182699918,0.10618661479234578,0.7965599920838362,2.312171654087426,0.26085760092930815,0.0,0.8686580237951593
R-263,1.199346727407377,0.9626622867311587,0.026185255992371523,0.0008179526804236629,0.0,0.6812507625917545,0.013545833745705088,0.0,0.026042799588382806,3.2920430749148197,0.09051553493735451,0.6517187887968069,0.26063283841449875,0.1386622433632419,0.0,0.6721632297811433,0.1682590726680467,0.004907626034558074,0.07046259479454847,1.303858009146679,0.025383909316272213,0.0,0.06673226278356374,0.28035227318579153,0.00856509738948336,0.027225032544481546,0.1276205390118345,0.06977526807667375,0.0,0.13761994928903432,3.674225812390591,0.11188718694900428,0.7634687444838567,2.3076810866561592,0.24347567053041513,0.0,0.9565265478297119
R-264,1.188551262485714,0.9270587040591174,0.02599417791940361,0.0007243928829672945,0.0,0.6320609191786228,0.01329323192857876,0.0,0.026684575900120765,3.0277356926310643,0.09536608230153826,0.6730424421583532,0.25004597905786496,0.13311329158415694,0.0,0.6718901306889773,0.15914529628039062,0.004584959779236777,0.06432043795333461,1.3499632173396443,0.027603829621255595,0.0,0.06904366550888635,0.28641510737755516,0.008066525914782192,0.025805029881516117,0.1358137477684856,0.06775395522358567,0.0,0.13151234181415322,3.623817284242153,0.10622334809700318,0.7262200590777572,2.4534118065157395,0.23882787157525198,0.0,0.9225200735422716
R-265,1.2627871104957924,0.9571217887552597,0.027303208988358953,0.000818072920307769,0.0,0.6905512110033469,0.012893296820924764,0.0,0.026524651898707903,3.1194661677510642,0.09335316598278762,0.6869769647149192,0.2593484681391612,0.13071244279769134,0.0,0.6946031249622353,0.1683559913991091,0.005164501025471109,0.06367905076166819,1.3155176841566294,0.02809055599200436,0.0,0.07018589304139639,0.2812612887014431,0.008004970379593369,0.026429722424061684,0.13938019990599806,0.07198347770236738,0.0,0.14006653378747258,3.3674866873665263,0.10782757500297019,0.7605268135391462,2.4791331898567255,0.250087356309741,0.0,0.9830207633092627
R-266,1.19594858204048,0.9310403504457085,0.02566110644216907,0.000779808076449273,0.0,0.6588490406550525,0.012841057413517565,0.0,0.026093339940006982,3.1316722121815106,0.09358673740046061,0.7196106543258811,0.26948294398354666,0.12402604943676254,0.0,0.6989315213699681,0.16219693585376416,0.004614562492321883,0.06542061129452106,1.289305454816707,0.02624799951329121,0.0,0.07055375496806081,0.28118546843909825,0.007695952943460892,0.027045826466018583,0.14102115596655385,0.06829393498141238,0.0,0.14500598947935694,3.9518317723984158,0.10348023124513958,0.7897366209753437,2.394460059887868,0.2336561177978106,0.0,0.937697054528988
R-267,1.223924925408061,0.9405140175374287,0.0266616094519081,0.000796988696727283,0.0,0.6840917461901115,0.013027890827717718,0.0,0.028811126149068784,3.170151376852384,0.09088379743130298,0.6598333064506949,0.26751159597349317,0.1375149878409702,0.0,0.6404426690252955,0.1533290070750934,0.004790409791193028,0.06254741002364797,1.3233839789362134,0.026442239691606577,0.0,0.06839960315893683,0.2766302446347025,0.007958907744416542,0.028212654002738324,0.13796964363140157,0.06574269986345654,0.0,0.13976671443662908,3.8299020063880955,0.11847886233790515,0.7295421713970166,2.330160306678239,0.22438117053798537,0.0,0.889444527400983
R-268,1.2646060314345335,0.954318830292634,0.024935387120671636,0.0007956537363692094,0.0,0.6477940898363905,0.013330792050040076,0.0,0.027721012409434382,2.8737488117259025,0.1013208306533302,0.6939829741053223,0.2639460193887947,0.12951459171385396,0.0,0.6854896770204951,0.16095214579407965,0.004880384825143747,0.06753617391136593,1.3119502219210348,0.02733882367846992,0.0,0.06068402061602938,0.2621938854291816,0.008473211079418104,0.02930582757611568,0.13121289263931357,0.06647572578648156,0.0,0.142112424553335,3.6619606958440936,0.11360650731033108,0.6948490967420271,2.3358279380000537,0.2505251347946792,0.0,0.9254993930319273
R-269,1.1684594731373983,0.9551317196346046,0.025269039384739695,0.0007689216238758891,0.0,0.6931874255787295,0.013183186499010187,0.0,0.027466597981078453,2.9269984467320733,0.09468530779781596,0.6584391934407721,0.27724734922031985,0.12560945219320943,0.0,0.6112716349236154,0.16196398454562372,0.0049985114503491475,0.0646126619288174,1.4295442899813533,0.02794875879251235,0.0,0.06922640140366176,0.27839855980933587,0.007894332882883394,0.02756243180129611,0.134381076275614,0.06182153208738015,0.0,0.1308342645657457,3.9474005728790735,0.1034752335202293,0.782828058748912,2.4463223762747828,0.264017783068244,0.0,0.8647691819257513
R-270,1.2209427659382046,0.916520707059875,0.02657828207081496,0.0008372879298843865,0.0,0.6795378501438216,0.01418978744291594,0.0,0.026000526713342676,3.42632176411116,0.08783932613165274,0.650091152446396,0.2664440550405423,0.1409973219057897,0.0,0.7162132732412626,0.16965805725333835,0.005028310243614585,0.06802035217659166,1.3286530673297234,0.02675074823800467,0.0,0.06968617555416114,0.27601003906240085,0.008361941680062782,0.027245765219033425,0.13931012383182143,0.06367050576266627,0.0,0.13974019391591172,3.7899639242284224,0.11294963748708617,0.7467642252084054,2.3972074922045916,0.26218596229903207,0.0,0.8766428394725455
R-271,1.2447660523513087,0.9272719528755448,0.02766150253485479,0.0008440180242634554,0.0,0.6570027938084013,0.013556034446456007,0.0,0.029069351002064134,3.1991229024293637,0.0934241996558636,0.6557427882004914,0.25167281037759,0.13620639722592803,0.0,0.6764836233076684,0.16852534945449327,0.005047517566696562,0.06119273535523061,1.2681973008716192,0.026764557970075504,0.0,0.06597323741173282,0.2701452263772423,0.008008238152379825,0.027763456658989265,0.13933235681602407,0.06954556310189233,0.0,0.13841489997816198,3.715258724492432,0.1078679391520316,0.7710788133334672,2.456638994289029,0.2317073525935,0.0,0.8839013772379127
R-272,1.196987942866918,0.9289430107686475,0.027130705044944622,0.000746488841315087,0.0,0.6728230814582646,0.013656333241578477,0.0,0.02711316902813455,3.0751612117859373,0.09876995439210892,0.7108316186425311,0.2510372415378576,0.13474112306684383,0.0,0.6946174691610872,0.16359580964638468,0.004790130348768402,0.06777551561936672,1.4447791205589355,0.02710336038124648,0.0,0.06759807482698364,0.2507720902770192,0.00840304565568545,0.02770534426813325,0.13315986203645958,0.06952338595594756,0.0,0.14508411975898183,3.463365536271692,0.12169986257133106,0.7351111345540965,2.5640618447739167,0.23560793915509767,0.0,0.9114503447577263
