id,outer_radius_m,inner_radius_m,length_m,volume_m3,weight_kg,route,ore_grade,energy_route,electricity_kwh,carbon_kgco2e,naturalGas_nm3,wastewater_l,transport_cost_usd,manufacturing_cost_per_unit,quality_score,distance_km,price_per_kg_usd,electricity_kwh
ren_164,0.1637,0.0476,1.4718,0.11340681,306.1984,conventional,high,renewable,6213.992,1546.085,65.908,4010.829,21.049,1457.589,0.827,684.8,2.033,0.1124
ren_165,0.0459,0.0107,2.9782,0.018679,50.4333,conventional,medium,renewable,1001.043,375.151,8.43,1218.609,5.019,324.737,0.798,936.9,3.751,0.1073
ren_166,0.0869,0.0408,4.4757,0.08272466,223.3566,conventional,medium,renewable,2868.18,1471.324,35.503,1156.66,6.475,1133.666,0.714,251.8,3.124,0.1145
ren_167,0.1081,0.0232,3.3607,0.11776437,317.9638,conventional,medium,renewable,5616.543,1588.428,50.377,3897.809,41.44,1891.409,0.76,1114,3.76,0.1033
ren_168,0.0357,0.0247,4.796,0.00998199,26.9514,conventional,medium,renewable,485.271,164.289,5.171,454.834,0.354,176.725,0.619,199.4,4.01,0.1128
ren_169,0.1857,0.0535,1.3245,0.13165062,355.4567,conventional,low,renewable,3806.181,1063.955,56.877,4396.559,13.131,2324.175,0.512,996.5,4.697,0.1292
ren_170,0.1102,0.0038,3.3518,0.12779781,345.0541,conventional,low,renewable,3944.34,1772.328,50.867,4233.367,15.835,2210.212,0.452,482.7,4.604,0.125
ren_171,0.1419,0.1258,2.3852,0.0323419,87.3231,conventional,high,renewable,1683.753,407.776,15.494,1349.907,4.557,540.611,0.864,1121.2,2.901,0.1349
ren_172,0.1793,0.0475,1.7615,0.16534805,446.4397,recycled,NA,renewable,3887.672,362.952,12.148,1522.937,19.354,1456.271,0.649,1123.9,1.949,0.1079
ren_173,0.1872,0.0171,1.0605,0.1157234,312.4532,conventional,high,renewable,5702.242,1959.725,51.589,5975.275,24.22,1837.983,0.811,701.9,3.126,0.1202
ren_174,0.1394,0.054,5.3191,0.27618827,745.7083,recycled,NA,renewable,5724.594,583.582,37.251,2431.656,23.867,1646.742,0.794,1000.5,1.307,0.0979
ren_175,0.1157,0.0549,1.8697,0.06088626,164.3929,conventional,medium,renewable,3347.535,1084.536,30.905,2682.909,14.36,1037.112,0.765,795.3,3.971,0.1031
ren_176,0.0388,0.0149,0.8004,0.00322495,8.7074,recycled,NA,renewable,58.842,5.481,0.357,35.841,0.366,24.091,0.827,369.7,1.69,0.1214
ren_177,0.197,0.1871,2.6443,0.03165705,85.474,conventional,high,renewable,1545.579,298.819,17.619,484.832,8.653,467.829,0.873,991.8,3.211,0.1153
ren_178,0.0576,0.0256,2.9446,0.02463976,66.5273,recycled,NA,renewable,417.282,36.16,2.938,42.944,1.207,196.079,0.774,160,1.744,0.1297
ren_179,0.1157,0.0539,2.5057,0.08244049,222.5893,conventional,medium,renewable,4119.006,1054.547,38.226,4017.978,4.935,1390.825,0.767,800.9,3.435,0.1234
ren_180,0.1301,0.032,0.7247,0.03622655,97.8117,conventional,medium,renewable,1349.902,490.565,16.131,1296.193,7.831,472.502,0.7,1057.6,2.784,0.1167
ren_181,0.1925,0.1672,5.6124,0.16007353,432.1985,recycled,NA,renewable,4106.822,459.578,28.965,2783.173,14.866,1259.77,0.838,992.9,1.424,0.1088
ren_182,0.0976,0.0847,1.5819,0.01168965,31.5621,recycled,NA,renewable,312.966,10.819,1.751,122.195,1.177,119.447,0.822,428.1,2.128,0.1335
ren_183,0.1904,0.1451,1.669,0.07975321,215.3337,recycled,NA,renewable,1482.851,159.893,7.959,630.382,8.836,561.595,0.667,664.8,1.24,0.1418
ren_184,0.1563,0.0124,2.4193,0.18453934,498.2562,conventional,high,renewable,8964.99,2345.669,99.476,6581.891,0.951,2611.966,0.915,79.7,2.744,0.1103
ren_185,0.125,0.0968,1.908,0.03751095,101.2796,conventional,medium,renewable,1904.204,449.212,22.016,1396.772,1.697,680.306,0.645,668.8,3.734,0.1268
ren_186,0.1671,0.015,2.7553,0.2397876,647.4265,conventional,low,renewable,9712.607,2891.947,84.491,10065.567,21.01,4293.792,0.479,917,4.664,0.0992
ren_187,0.0935,0.0049,0.3046,0.00834602,22.5343,conventional,medium,renewable,414.692,124.309,4.606,285.155,0.597,118.687,0.679,303.8,2.674,0.1135
ren_188,0.1528,0.0993,1.6968,0.07193365,194.2209,conventional,low,renewable,4107.16,1523.09,52.686,2313.518,6.082,1082.595,0.606,409.7,3.06,0.1118
ren_189,0.144,0.0753,4.6991,0.22248769,600.7168,conventional,low,renewable,11461.209,3699.424,129.628,11718.853,38.792,4331.401,0.45,731.7,4.866,0.1121
ren_190,0.1446,0.088,4.5078,0.18648744,503.5161,conventional,high,renewable,11478.255,2977.949,106.329,7454.506,0.513,2557.573,0.852,36.1,2.633,0.1031
ren_191,0.0968,0.0158,1.846,0.05284283,142.6757,recycled,NA,renewable,1110.645,72.767,11.582,533.721,2.468,528.26,0.779,189.1,1.87,0.1774
ren_192,0.182,0.1175,4.1098,0.24967148,674.113,recycled,NA,renewable,2859.505,391.762,37.237,2742.969,41.045,1705.432,0.637,804.8,1.283,0.1437
ren_193,0.0442,0.0345,5.5185,0.01329315,35.8915,conventional,high,renewable,764.931,141.669,5.372,542.833,4.256,214.096,0.817,1024.4,2.68,0.1255
ren_194,0.1293,0.0298,0.6603,0.03282512,88.6278,conventional,high,renewable,2308.735,436.478,11.674,852.904,3.767,670.248,0.827,825,3.471,0.1455
ren_195,0.1241,0.0817,4.5455,0.12475916,336.8497,recycled,NA,renewable,3069.792,271.4,13.375,1164.761,6.59,1122.635,0.734,168.1,1.746,0.129
ren_196,0.1174,0.0065,0.7224,0.03120579,84.2556,conventional,medium,renewable,1353.999,453.351,12.343,809.11,6.438,575.932,0.673,975.7,3.761,0.1594
ren_197,0.1039,0.0704,3.3831,0.06201361,167.4367,conventional,low,renewable,2748.989,995.245,40.791,3079.941,1.696,1142.346,0.475,316,3.843,0.1526
ren_198,0.1111,0.0709,5.9867,0.13740349,370.9894,conventional,high,renewable,6474.012,2077.068,90.276,3491.421,3.479,2192.266,0.988,92.5,3.597,0.1157
ren_199,0.0473,0.0249,3.5322,0.0178815,48.2801,conventional,high,renewable,798.014,320.682,10.99,775.516,2.071,254.628,0.913,427.7,3.211,0.1054
ren_200,0.0733,0.0106,2.6534,0.04389238,118.5094,conventional,high,renewable,2270.325,515.943,26.523,2034.514,4.344,636.404,0.975,1130.2,2.517,0.1191
